,localizacao,tamanho_quartos,valor
228," Av em projeto, 09 - Limoeiro de Anadia - Alagoas ", 88 m² construídos | 2 quartos ,52.649
229," R antonio balbino de souza, 36 - Olho d'Água do Casado - Alagoas ", 211 m² construídos | 3 quartos ,68.000
230," Rua maria cristina da silva estevam, 75 - Senador Arnon de Melo - Arapiraca - Alagoas ", 93 m² construídos | 2 quartos ,62.720
231," Rua joel de gusmao barbosa lt 6 qd h, - Porto Calvo - Alagoas ", 70 m² construídos | 1 quarto ,50.021
232," Rua professora maria bispo dos santos, 495 - Canafístula - Arapiraca - Alagoas ", 77 m² construídos | 1 quarto ,52.649
233," Rua antonio silvestre de goiana, 107 - Viçosa - Alagoas ", 424 m² construídos | 4 quartos ,166.991
234," Rua sonia maria de almeida lopes, 178 - Verdes Campos - Arapiraca - Alagoas ", 192 m² construídos | 2 quartos ,175.066
235," Rua melquiades joão de deus, 68 - Baixa Grande - Arapiraca - Alagoas ", 229 m² construídos ,269.819
236," R projetada 44, 148 - Olho D'Água dos Cazuzinhos - Arapiraca - Alagoas ", 297 m² construídos ,284.510
237," Pista asfaltica, 382 - Passo de Camaragibe - Alagoas ", 297 m² construídos | 4 quartos ,271.340
238," Rua gesse tenório lins, 42 - Murici - Alagoas ", 110 m² construídos | 2 quartos ,76.313
239," Rua joão ferreira de macedo, 105 - Senador Arnon de Melo - Arapiraca - Alagoas ", 126 m² construídos | 2 quartos ,64.000
240, Maceió - Alagoas , 280 m² construídos | 4 quartos ,1.050.000
241," Rua sinesio ferreira lima, 181 - São Luiz - Arapiraca - Alagoas ", 126 m² construídos | 4 quartos ,180.880
242," Rua projetada b, 232 - Limoeiro de Anadia - Alagoas ", 91 m² construídos | 2 quartos ,50.207
243," Rua do cruzeiro, 3 - Pilar - Alagoas ", 103 m² construídos | 2 quartos ,67.267
244," Rua antonio pedro caiapo, 300 - Conceição das Alagoas - Minas Gerais ", 144 m² construídos | 1 quarto ,145.350
245," Rodovia al 115, 57300 - Verdes Campos - Arapiraca - Alagoas ", 5592 m² construídos ,439.280
246, Benedito Bentes - Maceió - Alagoas , 75 m² construídos | 2 quartos ,85.000
247," R projetada 19, 102 - Girau do Ponciano - Alagoas ", 75 m² construídos | 2 quartos ,51.142
248," Rua em projeto 17, 10 - Pilar - Alagoas ", 93 m² construídos | 2 quartos ,53.910
249," Rua projetada 26, 36 - Pilar - Alagoas ", 84 m² construídos | 1 quarto ,57.636
250," Rua ouro branco, 802 - Santa Esmeralda - Arapiraca - Alagoas ", 305 m² construídos | 4 quartos ,360.100
251," Rua antonio macario gomes, 111 - Cajueiro - Alagoas ", 341 m² construídos | 1 quarto ,121.661
252," R margarida albuquerque maia, 46 - Igaci - Alagoas ", 228 m² construídos | 2 quartos ,271.375
253," Rua projetada a, 00241 - Limoeiro de Anadia - Alagoas ", 86 m² construídos | 2 quartos ,50.432
254," Rua projetada, 56 - Pilar - Alagoas ", 122 m² construídos | 2 quartos ,66.338
255," Rua alagoas, 324 - Dores do Indaiá - Minas Gerais ", 125 m² construídos | 3 quartos ,185.402
256," Vila santa rita, 362 - Pilar - Alagoas ", 225 m² construídos ,139.350
257, Verdes Campos - Arapiraca - Alagoas , 320 m² construídos | 4 quartos ,2.100.000
258," R alagoas, 234 - Turu - São Luís - Maranhão ", 234 m² construídos ,380.100
259," R julita lemos palmeira, 660 - Novo Horizonte - Arapiraca - Alagoas ", 319 m² construídos | 3 quartos ,345.800
260," Rua dr emilio de maia, 15 - Rio Largo - Alagoas ", 53 m² construídos | 2 quartos ,55.974
261," R ne firmino, 235 - Planalto - Arapiraca - Alagoas ", 69 m² construídos | 1 quarto ,109.380
262," R chã preta - nossa sra da saude, 12 - Piranhas - Alagoas ", 95 m² construídos | 2 quartos ,74.406
263," Avenida miguel correia de amorim, 1397 - Manoel Teles - Arapiraca - Alagoas ", 210 m² construídos | 1 quarto ,155.040
264," Lot armando tenório lins i, 01 - Boca da Mata - Alagoas ", 120 m² construídos | 2 quartos ,90.394
265," Rua antonio serafim costa, 52 - Pilar - Alagoas ", 72 m² construídos | 2 quartos ,55.974
266," Rua projetada a, 229 - Boa Vista - Arapiraca - Alagoas ", 109 m² construídos | 2 quartos ,85.536
267," Rua existente, 71 - Boa Vista - Arapiraca - Alagoas ", 82 m² construídos | 2 quartos ,53.678
268," R deputado cleto marques luz, 313 - São Luiz - Arapiraca - Alagoas ", 174 m² construídos | 3 quartos ,203.545
269," Rua jose luis de melo, 65 - Batalha - Alagoas ", 83 m² construídos | 2 quartos ,50.709
270," Lote 18 b quadra f, 57100 - Rio Largo - Alagoas ", 71 m² construídos | 3 quartos ,55.420
271," Rua projetada 04, 83 - Girau do Ponciano - Alagoas ", 82 m² construídos | 2 quartos ,54.311
272," Rua 10, 126 - Senador Arnon de Melo - Arapiraca - Alagoas ", 93 m² construídos | 2 quartos ,64.287
273," Rua senhor do bonfim, 48 - Pilar - Alagoas ", 73 m² construídos | 3 quartos ,54.046
274," Rua projetada f, 63 - Boa Vista - Arapiraca - Alagoas ", 99 m² construídos | 2 quartos ,62.903
275," Rua antônio saturnino de almeida, 87 - Boa Vista - Arapiraca - Alagoas ", 84 m² construídos | 2 quartos ,59.855
276," R sebastião luiz pereira, 247 - São Luiz - Arapiraca - Alagoas ", 244 m² construídos | 3 quartos ,266.798
277," Rua projetada, 90 - Brasiliana - Arapiraca - Alagoas ", 125 m² construídos | 2 quartos ,71.060
278," Rua manoel gomes da silva, 40 - Boa Vista - Arapiraca - Alagoas ", 90 m² construídos | 2 quartos ,64.841
279," Rua senhor do bonfim, 58 - Pilar - Alagoas ", 73 m² construídos | 3 quartos ,52.136
280," Rua projetada b, 201 - Limoeiro de Anadia - Alagoas ", 86 m² construídos | 2 quartos ,52.926
281," Rua projetada, 49 - Batalha - Alagoas ", 107 m² construídos | 2 quartos ,80.048
282," Lot portal dos gregorios qd kk, - Satuba - Alagoas ", 240 m² construídos | 4 quartos ,460.982
283," R boa sorte, 193 - Primavera - Arapiraca - Alagoas ", 180 m² construídos | 2 quartos ,156.784
284," Tv benedito lopes de gusmão, 89 - Pilar - Alagoas ", 290 m² construídos | 1 quarto ,119.438
285," Rua josé monteiro de melo, 14 - Rio Largo - Alagoas ", 55 m² construídos | 1 quarto ,50.432
286," Loteamento parque dos eucaliptos, 02 - Rio Largo - Alagoas ", 107 m² construídos | 3 quartos ,80.885
287," Rua napoleao viana, 91 - Rio Largo - Alagoas ", 47 m² construídos | 2 quartos ,52.094
288," Av guadalajara, 34 - Cajueiro - Alagoas ", 364 m² construídos | 2 quartos ,182.818
289," Rua projetada 04, 46 - Girau do Ponciano - Alagoas ", 78 m² construídos | 2 quartos ,58.010
290," R existente, 651 - Boa Vista - Arapiraca - Alagoas ", 90 m² construídos | 2 quartos ,57.082
291," Rua padre jorge tobias de freitas, 145 - Batalha - Alagoas ", 89 m² construídos | 3 quartos ,50.376
292," Rua projetada atual antonio saturnino de almeida, 77 - Boa Vista - Arapiraca - Alagoas ", 99 m² construídos | 2 quartos ,54.089
293," Rua joaquina rosa da silva, 508 - Pilar - Alagoas ", 87 m² construídos | 1 quarto ,61.959
294," R napoleão viana, 61 - Rio Largo - Alagoas ", 47 m² construídos | 2 quartos ,60.684
295," R projetada 1, 447 - Feira Grande - Alagoas ", 168 m² construídos | 2 quartos ,148.580
296," Rua em projeto 02, 02 - Atalaia - Alagoas ", 80 m² construídos | 2 quartos ,51.097
297," R antônio serafim costa, 30 - Pilar - Alagoas ", 81 m² construídos | 3 quartos ,82.347
298," Rua antonio serfaim costa, 30 - Pilar - Alagoas ", 83 m² construídos | 2 quartos ,81.105
299," Rua projetada 04, 397 - Planalto - Arapiraca - Alagoas ", 254 m² construídos | 3 quartos ,161.500
300," Rua mendonça alves, 1582 - Passo de Camaragibe - Alagoas ", 247 m² construídos | 2 quartos ,237.739
301," R projetada 19, 71 - Girau do Ponciano - Alagoas ", 63 m² construídos | 2 quartos ,51.817
302," R antônio serafim costa, 80 - Pilar - Alagoas ", 72 m² construídos | 1 quarto ,51.841
303," R 2 em projeto l20b, 57100 - Rio Largo - Alagoas ", 67 m² construídos | 2 quartos ,54.311
304," Rua projetada 10, 79 - Girau do Ponciano - Alagoas ", 72 m² construídos | 3 quartos ,53.836
305," R projetada a lote 32 qd b, 256 - Limoeiro de Anadia - Alagoas ", 88 m² construídos | 2 quartos ,52.700
306," Rua projetada b, 01 - Limoeiro de Anadia - Alagoas ", 88 m² construídos | 2 quartos ,50.542
307," R francisco alexandre, 214 - Baixa Grande - Arapiraca - Alagoas ", 457 m² construídos | 5 quartos ,503.880
308," R projetada 19, 97 - Girau do Ponciano - Alagoas ", 79 m² construídos | 2 quartos ,50.598
309, Barra de São Miguel - Alagoas , 360 m² construídos | 3 quartos ,380.000
310," Rua projetada, 89 - Batalha - Alagoas ", 87 m² construídos | 1 quarto ,52.538
311," R joão josé de freitas, - Batalha - Alagoas ", 112 m² construídos | 2 quartos ,59.625
312," Av antonio serafim costa, 89 - Pilar - Alagoas ", 72 m² construídos | 1 quarto ,55.420
313," Rua joao ciriaco, 89 - Ibateguara - Alagoas ", 155 m² construídos | 3 quartos ,97.751
314," Rua em projeto lt 09 qd 10-b, - Rio Largo - Alagoas ", 69 m² construídos | 1 quarto ,62.091
315," Rua do pinto, 04 - Rio Largo - Alagoas ", 75 m² construídos | 2 quartos ,52.172
316," R em projeto, 12 - Pilar - Alagoas ", 86 m² construídos | 1 quarto ,52.870
317," Travessa coronel jose francisco vieira, 92 - Trapiche da Barra - Maceió - Alagoas ", 105 m² construídos | 2 quartos ,111.375
318, Barro Duro - Maceió - Alagoas , 285 m² construídos | 5 quartos ,600.000
319," Rua projetada 04, 00203 - Penedo - Alagoas ", 128 m² construídos | 2 quartos ,129.710
320," AL-215, 404 - Marechal Deodoro - Alagoas ", 300 m² construídos | 3 quartos ,140.000
321," R josé horácio da silva, 448 - Nova Esperança - Arapiraca - Alagoas ", 113 m² construídos | 1 quarto ,59.299
322," R em projeto, 21 - Teotônio Vilela - Alagoas ", 117 m² construídos | 4 quartos ,72.090
323," Rua cicero antonio da silva, 115 - Canafístula - Arapiraca - Alagoas ", 91 m² construídos | 1 quarto ,54.865
324," Rua bernardo lopes, 274 - Pinheiro - Maceió - Alagoas ", 282 m² construídos | 1 quarto ,560.800
325," Rua projetada, 798 - São Luiz - Arapiraca - Alagoas ", 220 m² construídos | 2 quartos ,309.434
326," Rua ana genilda costa barros, 2 - Pilar - Alagoas ", 73 m² construídos | 1 quarto ,50.432
327," Rua napoleão viana, - Rio Largo - Alagoas ", 47 m² construídos | 2 quartos ,53.689
328," Rua josé manoel monteiro casa c, - Rio Largo - Alagoas ", 59 m² construídos | 2 quartos ,54.228
329," Rua projetada 07, 188 - Taquarana - Alagoas ", 85 m² construídos | 2 quartos ,53.728
330," Qd-02 lt-01a-3 r alagoas, - Águas Lindas de Goiás - Goiás ", 66 m² construídos | 2 quartos ,55.974
331," Alagoas 501 lote 05, - Laranjal - Pelotas - Rio Grande do Sul ", 52 m² construídos ,62.070
332," Rua da vitoria, 06 - Rio Largo - Alagoas ", 135 m² construídos | 2 quartos ,144.381
333," R projetada ab, 323 - Planalto - Arapiraca - Alagoas ", 99 m² construídos | 2 quartos ,64.287
334," R projetada 08, 67 - Girau do Ponciano - Alagoas ", 78 m² construídos | 2 quartos ,53.886
335," R gilberto dos santos silva (antiga r projetada f), 354 - Planalto - Arapiraca - Alagoas ", 79 m² construídos | 2 quartos ,61.370
336," R evaldo martins, 14 - Canafístula - Arapiraca - Alagoas ", 84 m² construídos | 2 quartos ,53.532
337," Rua josé manoel monteiro, 00000 - Rio Largo - Alagoas ", 59 m² construídos | 2 quartos ,50.764
338," R em projeto 03, 02 - Pilar - Alagoas ", 68 m² construídos | 2 quartos ,52.907
339," R elesbao barbosa de carvalho, 343 - Maravilha - Alagoas ", 73 m² construídos | 2 quartos ,52.136
340, Gonzaga - Santos - São Paulo , 215 m² construídos | 3 quartos ,1.372.340
341, Marechal Deodoro - Alagoas , 423 m² construídos | 4 quartos ,1.990.000
342, Jacintinho - Maceió - Alagoas , 3 quartos ,200.000
343, Guaribas - Arapiraca - Alagoas , 66000 m² totais | 4 quartos ,8.000.000
344, AL 101 NORTE - Jacarecica - Maceió - Alagoas , 610 m² construídos | 3 quartos ,3.400.000
345," Rua A-72, 326 - Benedito Bentes - Maceió - Alagoas ", 96 m² construídos | 3 quartos ,92.000
346, RUA JOSÉ DE ALENCAR 168 - Farol - Maceió - Alagoas , 340 m² construídos | 3 quartos ,390.000
347, Antares - Maceió - Alagoas , 192 m² construídos | 2 quartos ,270.000
348," Conjunto João Sampaio II, 7 - Benedito Bentes - Maceió - Alagoas ", 75 m² construídos | 2 quartos ,85.000
349, Santa Amélia - Maceió - Alagoas , 250 m² construídos ,250.000
350, Satuba - Alagoas , 3 quartos ,160.000
351, 35 - Caititus - Arapiraca - Alagoas , 30 m² construídos | 2 quartos ,145.000
352, Alagoas 2199 - José Conrado de Araújo - Aracaju - Sergipe , 77 m² construídos | 3 quartos ,200.000
353, Serraria - Maceió - Alagoas , 238 m² construídos | 4 quartos ,660.000
354, Verdes Campos - Arapiraca - Alagoas , 220 m² construídos | 3 quartos ,950.000
355, Japaratinga - Alagoas , 280 m² construídos | 5 quartos ,1.500.000
356, Trapiche da Barra - Maceió - Alagoas , 4 quartos ,550.000
357, RUA SALVADOR APRATO 100 - Barra de São Miguel - Alagoas , 219 m² construídos | 5 quartos ,700.000
358, Condomínio Residencial Aldebaran Beta - Maceió - Alagoas , 382 m² construídos | 4 quartos ,1.600.000
359, Benedito Bentes - Maceió - Alagoas , 96 m² construídos | 3 quartos ,92.000
360, Feitosa - Maceió - Alagoas , 91 m² totais | 3 quartos ,280.000
361, Jacarecica - Maceió - Alagoas , 4 quartos ,650.000
362, Paripueira - Alagoas , ,360.000
363, Benedito Bentes - Maceió - Alagoas , 160 m² totais | 3 quartos ,160.000
364, Trapiche da Barra - Maceió - Alagoas , 300 m² totais | 3 quartos ,230.000
365, Pajuçara - Maceió - Alagoas , 116 m² construídos | 3 quartos ,320.000
366, Feitosa - Maceió - Alagoas , 130 m² construídos | 3 quartos ,350.000
367," R do cruzeiro, 82 - Teotônio Vilela - Alagoas ", 150 m² construídos | 2 quartos ,71.282
368, Jatiúca - Maceió - Alagoas , 173 m² construídos | 4 quartos ,550.000
369, Rua Vanildo Oliveira Nunes 35 - Barra de São Miguel - Alagoas , 250 m² construídos | 4 quartos ,500.000
370, Antares - Maceió - Alagoas , 205 m² construídos ,550.000
371, Tabuleiro dos Martins - Maceió - Alagoas , 74 m² construídos | 2 quartos ,215.000
372, Paripueira - Alagoas , 14 quartos ,600.000
373, Ponta Grossa - Maceió - Alagoas , 170 m² totais | 4 quartos ,300.000
374, Rua Arabaiana - Marechal Deodoro - Alagoas , 70 m² construídos | 2 quartos ,170.000
375, Verdes Campos - Arapiraca - Alagoas , 120 m² construídos | 3 quartos ,605.000
376, Antares - Maceió - Alagoas , 123 m² construídos | 3 quartos ,260.000
377," Quadra B1, 45 - Santa Amélia - Maceió - Alagoas ", 250 m² construídos ,250.000
378, Serraria - Maceió - Alagoas , 154 m² construídos | 4 quartos ,550.000
379, Antares - Maceió - Alagoas , 141 m² construídos | 3 quartos ,330.000
380, PRAIA DO FRANCÊS - Marechal Deodoro - Alagoas , 90 m² construídos | 3 quartos ,265.000
381, Condominio Morada Dos Vilas (penisula De Maraú) - Barra Grande - Maragogi - Alagoas , 150 m² construídos | 4 quartos ,850.000
382, Antares - Maceió - Alagoas , 139 m² construídos | 3 quartos ,260.000
383, Antares - Maceió - Alagoas , 81 m² construídos | 2 quartos ,130.000
384, 177 CASA - Centro - Arapiraca - Alagoas , 309 m² construídos | 3 quartos ,1.600.000
385, Antares - Maceió - Alagoas , 330 m² construídos | 4 quartos ,600.000
386, Antares - Maceió - Alagoas , 157 m² construídos | 2 quartos ,350.000
387, Antares - Maceió - Alagoas , 146 m² construídos | 3 quartos ,350.000
388, Antares - Maceió - Alagoas , 3 quartos ,265.000
389, Paripueira - Alagoas , 180 m² construídos | 4 quartos ,500
390, José Valentim De Castro 15 - Marechal Deodoro - Alagoas , 120 m² construídos | 2 quartos ,380.000
391, Rua Sao João 552 - Vergel do Lago - Maceió - Alagoas , 312 m² totais | 7 quartos ,320.000
392, D 11 - Tabuleiro dos Martins - Maceió - Alagoas , 51 m² construídos | 2 quartos ,35.000
393, Lot. Porque Do Futuro SN - Teotônio Vilela - Alagoas , 140 m² construídos | 2 quartos ,35.000
394, Avenida Almirante Alvaro Calheiros 480 - Jatiúca - Maceió - Alagoas , 120 m² construídos | 3 quartos ,170.000
395, Rodovia al 220 6 - Barra de São Miguel - Alagoas , 450 m² construídos | 3 quartos ,495.000
396," Celeste Braga, Bairro Peroba 14 - Barra Grande - Maragogi - Alagoas ", 74 m² construídos | 3 quartos ,150
397, Rua Doutor Hildebrando Falcão 173 - Tabuleiro dos Martins - Maceió - Alagoas , 120 m² construídos | 4 quartos ,180.000
398, rua da praia SN - Poxim - Coruripe - Alagoas , 1 m² construídos | 4 quartos ,200.000
399, R. Adherbal Areccipo Barros Teixeira 168 - Serraria - Maceió - Alagoas , 144 m² construídos | 5 quartos ,400.000
400, Loteamento José Calazans SN - São Miguel dos Campos - Alagoas , 220 m² construídos | 3 quartos ,400.000
401, Rau V U 74 - Tabuleiro dos Martins - Maceió - Alagoas , 45 m² construídos | 2 quartos ,130.000
402, Capitão Correia 09 - Barro Duro - Maceió - Alagoas , 11 m² construídos | 2 quartos ,55
403, Rua Danusia De Menezes Brandão Ayres 239 - Gruta de Lourdes - Maceió - Alagoas , 360 m² construídos | 4 quartos ,800.000
404, Progresso 73 - Serraria - Maceió - Alagoas , 126 m² construídos | 3 quartos ,380.000
405, lot pousada são José 01 - Barra Grande - Maragogi - Alagoas , 1111 m² construídos | 2 quartos ,79.990.000
406, Rua Hortência Targino Eliziário 19 - Juca Sampaio - Palmeira dos Índios - Alagoas , 60 m² construídos | 3 quartos ,68.000
407, Rua Maurício Pereira 597 - Baixão - Arapiraca - Alagoas , 200 m² construídos | 4 quartos ,290.000
408, Rua carile 30 - Tabuleiro dos Martins - Maceió - Alagoas , 50 m² construídos | 3 quartos ,45.000
409, Quadra L Rua 14 15 - Tabuleiro dos Martins - Maceió - Alagoas , 73 m² construídos | 3 quartos ,180.000
410, Rua Abdias Maria Francisca dos Santos 10 - Baixão - Arapiraca - Alagoas , 91 m² construídos | 2 quartos ,60.000
411, Rua Boca Do Rio 32 - Riacho doce - Maceió - Alagoas , 40 m² construídos | 1 quarto ,130.000
412, RUA ALBERTO SANTOS DUMONT 83 - Paulo Jacinto - Alagoas , 50 m² construídos | 2 quartos ,65.000
413, José Antônio da Silva 42 - Rocha Cavalcante - União dos Palmares - Alagoas , 90 m² construídos | 3 quartos ,60.000
414, Peroba - Barra Grande - Maragogi - Alagoas , 290 m² construídos | 3 quartos ,300.000
415, Rua das Capixabas 34 - Barra de São Miguel - Alagoas , 105 m² construídos | 3 quartos ,140.000
416, Rua Manoel Luiz Gomes 0000 - São Luiz - Arapiraca - Alagoas , 92 m² construídos | 2 quartos ,100.000
417, Rua Arthur Acioly 83 - Farol - Maceió - Alagoas , 200 m² construídos | 4 quartos ,180.000
418, Celestino Joaquim Da Silva 06 - São Sebastião - Alagoas , 25 m² construídos | 3 quartos ,32.000
419, Rua Princesa Izabel Quadra G 17 - Boa Vista - Arapiraca - Alagoas , 50 m² construídos | 2 quartos ,50.000
420, Rua Manoel Romao Bairro Alto do Cruzeiro 69 - Poxim - Coruripe - Alagoas , 60 m² construídos | 2 quartos ,30.000
421, Rua Clóvis de Andrade 01 - Campestre - Alagoas , 12 m² construídos | 2 quartos ,60.000
422, Rua Bom Retiro 131 - Vergel do Lago - Maceió - Alagoas , 73 m² construídos | 4 quartos ,80.000
423, Rua Boa sorte 103 - Pajuçara - Maceió - Alagoas , 2 quartos ,10.000
424, JEQUIAZINHO SN - Jequiá da Praia - Alagoas , 150000 m² construídos | 2 quartos ,80.000
425, Rua Sao Paulo Benedito Bentes 697 - Benedito Bentes - Maceió - Alagoas , 6 m² construídos | 3 quartos ,27.500
426, Avenida Rosalvo Da Silva 39 - Alberto Santos Dumont - Maceió - Alagoas , 100 m² construídos | 2 quartos ,120.000
427, publicitário ranildo cavalcante 58 - Gruta de Lourdes - Maceió - Alagoas , 280 m² construídos | 4 quartos ,850.000
428, rua sombra dos eucaliptos 222 - Tabuleiro dos Martins - Maceió - Alagoas , 40 m² construídos | 2 quartos ,50.000
429, Rua principal SN - Poxim - Coruripe - Alagoas , 115 m² construídos | 2 quartos ,60.000
430, Álvaro Calheiros 66 - Serraria - Maceió - Alagoas , ,100.000
431, 0 SN - Jatiúca - Maceió - Alagoas , 120 m² construídos | 2 quartos ,150.000
432, Av Almirante Álvaro Calheiros 480 - Jatiúca - Maceió - Alagoas , 100 m² construídos | 3 quartos ,120.000
433, Jarbas Oiticica 5 - Rio Largo - Alagoas , 20 m² construídos | 2 quartos ,17.000
434, Condomínio aquaville SN - Paripueira - Alagoas , 165 m² construídos | 3 quartos ,500
435, As Eldorado Dos Carajas SN Borracharia Do Voa SN - Branquinha - Alagoas , 20 m² construídos | 3 quartos ,25.000
436, Rua João Mendes De Oliveira 111 - Pilar - Alagoas , 31 m² construídos | 2 quartos ,32.000
437, Maceió 1 466 - Benedito Bentes - Maceió - Alagoas , 8 m² construídos | 1 quarto ,350
